Site,SubSite,CaptureDate,Species,IndividualID,SVLmm,Sex,Age,MassG,BdSample,SwabLost,SwabID,BdResult,TargetCopies/swab,HgSampleID,Notes,potential_injury_effect,flagged,reason,dead
SMNWR_E,SMNWR1601,11/3/2018,AMCI,AC-451,52,F,A,6.24,N,,,,,,,0,0,,
SMNWR_E,SMNWR0145,10/24/2017,AMCI,AC-178,64,M,A,6.20,Y,1,1603000466,,,,KO @ 10mn,0,0,,
SMNWR_W,SMNWR3001,3/20/2018,AMCI,ACT-310,57,U,A,6.1,Y,1,1701900004,,,,Recapture; fat; VIE should be PxOx,0,0,,
SMNWR_E,SMNWR0145,11/14/2017,AMCI,AC-225,66,M,A,6.07,Y,1,1603000222,,,,,0,0,,
SMNWR_E,SMNWR1601,10/29/2017,AMCI,AC-205,68,M,A,6.06,Y,1,1603000410,,,,,0,0,,
SMNWR_W,SMNWR3001,12/12/2019,AMCI,AC-508,65,M,A,6.06,Y,0,1902300188,neg,0,,,0,0,,
SMNWR_W,SMNWR3001,11/21/2017,AMCI,AC-R002,67,M,A,6.00,N,,,,,,"Recapture; batch mark but no PIT tag, so gave new PIT tag.",0,0,,
SMNWR_W,SMNWR3001,11/8/2018,AMCI,AC-199,60,F,A,5.99,N,,,,,,Recapture; Gravid,0,0,,
SMNWR_E,SMNWR1601,12/6/2017,AMCI,AC-037,71,F,A,5.88,Y,0,1603000299,neg,0,,Recapture; swab 296 FUJIFILM camera. Photo taken after ID with correct number,0,0,,
SMNWR_E,SMNWR0145,10/24/2017,AMCI,AC-074,66,M,A,5.87,N,,,,,,Recapture; Did not swab,0,0,,
SMNWR_W,SMNWR3001,11/22/2017,AMCI,AC-245,57,F,A,5.86,N,,,,,,Gravid,0,0,,
SMNWR_W,SMNWR3001,11/10/2018,AMCI,AC-455,62,M,A,5.85,N,,,,,,,0,0,,
SMNWR_E,SMNWR1601,10/28/2017,AMCI,AC-188,62,M,A,5.79,Y,1,1603000476,,,,,0,0,,
SMNWR_W,SMNWR3001,10/25/2017,AMCI,AC-183,64,M,A,5.77,N,,,,,,,0,0,,
SMNWR_W,SMNWR3001,12/7/2017,AMCI,AC-028,63,F,A,5.73,Y,0,1603000199,neg,0,,Recapture; All VIE looks pink …..2015/2016,0,0,,
SMNWR_E,SMNWR0145,1/9/2018,AMCI,AC-275,64,U,A,5.66,Y,1,1603000596,,,,scrape on head,1,0,,
SMNWR_W,SMNWR3001,12/9/2017,AMCI,AC-R003,71,F,A,5.62,Y,0,1603000210,neg,0,,"Recapture; recap from 2016, lost PIT tag, regenerated tail, chin scar.",1,0,,
SMNWR_E,SMNWR1601,12/14/2019,AMCI,AC-511,60,F,A,5.59,Y,0,1902300192,neg,0,,gravid,0,0,,
SMNWR_W,SMNWR3001,12/15/2020,AMCI,AC-528,66,F,A,5.54,Y,0,1903700398,neg,0,,,0,0,,
SMNWR_E,SMNWR1601,10/25/2017,AMCI,AC-184,63,M,A,5.52,Y,1,1603000472,,,,,0,0,,
SMNWR_E,SMNWR1601,10/29/2017,AMCI,AC-209,65,M,A,5.49,Y,1,1603000416,,,,,0,0,,
SMNWR_E,SMNWR1601,10/24/2017,AMCI,AC-179,66,M,A,5.47,Y,1,1603000467,,,,,0,0,,
SMNWR_E,SMNWR1601,12/28/2017,AMCI,AC-207,74,F,A,5.46,Y,0,1603000215,neg,0,,"Recapture; regenerated tail, missing foot in position 3",1,0,,
SMNWR_E,SMNWR1601,4/14/2018,AMCI,ac-081,59,M,A,5.46,N,,,,,,Recapture; no visible VIE? re-marked Pxxx,0,0,,
SMNWR_E,SMNWR0145,11/16/2018,AMCI,AC-458,54,F,A,5.44,N,,,,,,Gravid,0,0,,
SMNWR_E,SMNWR1601,12/1/2018,AMCI,AC-467,58,F,A,5.43,N,,,,,,Gravid,0,0,,
SMNWR_E,SMNWR1601,2/13/2018,AMCI,AC-205,70,U,A,5.42,Y,1,1702000007,,,,"Recapture; scrape on head, two notches on tail",1,0,,
SMNWR_E,SMNWR1601,11/3/2020,AMCI,AC-524,57,M,A,5.32,Y,0,1903700390,neg,0,,,0,0,,
