Region,State,Site,SubSite,Species,CaptureDate,PrimNum,SecNumConsec,Captures,Notes
NE,PA,ScotiaBarrens,P1,NOVI,5/15/2019,,,,
NE,PA,ScotiaBarrens,P1,NOVI,5/15/2020,,,,
NE,PA,ScotiaBarrens,P1,NOVI,5/18/2021,,,,
NE,PA,ScotiaBarrens,P1,NOVI,5/19/2020,,,,
NE,PA,ScotiaBarrens,P1,NOVI,5/2/2019,,,,
NE,PA,ScotiaBarrens,P1,NOVI,5/20/2021,,,,
NE,PA,ScotiaBarrens,P1,NOVI,5/21/2019,,,,
NE,PA,ScotiaBarrens,P1,NOVI,5/21/2020,,,,
NE,PA,ScotiaBarrens,P1,NOVI,5/21/2021,,,,
NE,PA,ScotiaBarrens,P1,NOVI,5/22/2019,,,,
NE,PA,ScotiaBarrens,P1,NOVI,5/24/2018,,,,
NE,PA,ScotiaBarrens,P1,NOVI,5/24/2019,,,,
NE,PA,ScotiaBarrens,P1,NOVI,5/24/2021,,,,
NE,PA,ScotiaBarrens,P1,NOVI,5/26/2020,,,,
NE,PA,ScotiaBarrens,P1,NOVI,5/27/2021,,,,
NE,PA,ScotiaBarrens,P1,NOVI,5/30/2019,,,,
NE,PA,ScotiaBarrens,P1,NOVI,5/8/2019,,,,
NE,PA,ScotiaBarrens,P1,NOVI,6/1/2018,,,,
NE,PA,ScotiaBarrens,P1,NOVI,6/10/2020,,,,
NE,PA,ScotiaBarrens,P1,NOVI,6/11/2020,,,,
NE,PA,ScotiaBarrens,P1,NOVI,6/15/2020,,,,
NE,PA,ScotiaBarrens,P1,NOVI,6/15/2021,,,,
NE,PA,ScotiaBarrens,P1,NOVI,6/16/2020,,,,
NE,PA,ScotiaBarrens,P1,NOVI,6/16/2021,,,,
NE,PA,ScotiaBarrens,P1,NOVI,6/17/2020,,,,
NE,PA,ScotiaBarrens,P1,NOVI,6/18/2021,,,,
NE,PA,ScotiaBarrens,P1,NOVI,6/20/2019,,,,
NE,PA,ScotiaBarrens,P1,NOVI,6/24/2019,,,,
NE,PA,ScotiaBarrens,P1,NOVI,6/24/2020,,,,
NE,PA,ScotiaBarrens,P1,NOVI,6/25/2019,,,,
NE,PA,ScotiaBarrens,P1,NOVI,6/25/2021,,,,
NE,PA,ScotiaBarrens,P1,NOVI,6/26/2019,,,,
NE,PA,ScotiaBarrens,P1,NOVI,6/26/2020,,,,
NE,PA,ScotiaBarrens,P1,NOVI,6/27/2018,,,,
NE,PA,ScotiaBarrens,P1,NOVI,6/28/2018,,,,
NE,PA,ScotiaBarrens,P1,NOVI,6/29/2020,,,,
NE,PA,ScotiaBarrens,P1,NOVI,6/4/2020,,,,
NE,PA,ScotiaBarrens,P1,NOVI,6/7/2019,,,,
NE,PA,ScotiaBarrens,P1,NOVI,7/1/2020,,,,
NE,PA,ScotiaBarrens,P1,NOVI,7/10/2020,,,,
NE,PA,ScotiaBarrens,P1,NOVI,7/12/2019,,,,
NE,PA,ScotiaBarrens,P1,NOVI,7/13/2021,,,,
NE,PA,ScotiaBarrens,P1,NOVI,7/14/2020,,,,
NE,PA,ScotiaBarrens,P1,NOVI,7/14/2021,,,,
NE,PA,ScotiaBarrens,P1,NOVI,7/15/2019,,,,
NE,PA,ScotiaBarrens,P1,NOVI,7/15/2021,,,,
NE,PA,ScotiaBarrens,P1,NOVI,7/17/2018,,,,
NE,PA,ScotiaBarrens,P1,NOVI,7/17/2019,,,,
NE,PA,ScotiaBarrens,P1,NOVI,7/19/2018,,,,
NE,PA,ScotiaBarrens,P1,NOVI,7/2/2019,,,,
NE,PA,ScotiaBarrens,P1,NOVI,7/2/2020,,,,
NE,PA,ScotiaBarrens,P1,NOVI,7/22/2020,,,,
NE,PA,ScotiaBarrens,P1,NOVI,7/24/2020,,,,
NE,PA,ScotiaBarrens,P1,NOVI,7/27/2020,,,,
NE,PA,ScotiaBarrens,P1,NOVI,7/28/2020,,,,
NE,PA,ScotiaBarrens,P1,NOVI,7/29/2020,,,,
NE,PA,ScotiaBarrens,P1,NOVI,7/6/2020,,,,
NE,PA,ScotiaBarrens,P1,NOVI,7/7/2020,,,,
