Site,SubSite,Species,CaptureDate,IndividualID,Sex,Age,SVLmm,MassG,BdSample,SwabLost,SwabID,BdResult,TargetCopies/swab,HgSampleID,Notes,potential_injury_effect,flagged,reason,dead
JonesPond,1,ANBO,5/4/2018,147349095A,M,,,,N,,,,,,,0,0,,
JonesPond,1,ANBO,5/4/2018,147349257A,M,,65,31.8,Y,0,1800200207,neg,0,18ARMI0525,,0,0,,
JonesPond,1,ANBO,5/10/2021,147349274A,M,,85,78.4,Y,0,2100400067,pos,2909.59,,Has LR2,0,0,,
JonesPond,1,ANBO,5/11/2021,147349274A,M,,87,77.3,N,,,,,,Has LR2,0,0,,
JonesPond,1,ANBO,5/16/2020,147349274A,M,,91,71.7,Y,0,2001800024,pos,248073.97,,,0,0,,
JonesPond,1,ANBO,5/13/2021,147349274A,M,,77,71.5,N,,,,,,Has LR2,0,0,,
JonesPond,1,ANBO,5/9/2019,147349274A,M,,72,65.5,Y,0,1902400155,pos,112995.21,,,0,0,,
JonesPond,1,ANBO,5/10/2019,147349274A,M,,72,65.5,N,,,,,,,0,0,,
JonesPond,1,ANBO,5/14/2019,147349274A,M,,72,65.5,N,,,,,,,0,0,,
JonesPond,1,ANBO,5/2/2018,147349274A,M,,80,58.5,Y,0,1800200300,neg,0,18ARMI0544,,0,0,,
JonesPond,1,ANBO,5/3/2018,147349274A,M,,,,N,,,,,,,0,0,,
JonesPond,1,ANBO,5/17/2020,147349274A,M,,,,N,,,,,,"In amplexus with unmarked, caught on 5/16/20",0,0,,
JonesPond,1,ANBO,5/4/2018,147349274A,M,,,,N,,,,,,,0,0,,
JonesPond,1,ANBO,5/18/2020,147349274A,M,,,,N,,,,,,caught on 5/17/20,0,0,,
JonesPond,1,ANBO,5/25/2020,147349274A,M,,,,N,,,,,,caught on 5/16/20,0,0,,
JonesPond,1,ANBO,5/2/2018,147349333A,M,,77,55,Y,0,1800200273,neg,0,18ARMI0726,,0,0,,
JonesPond,1,ANBO,5/3/2018,147349333A,M,,,,N,,,,,,,0,0,,
JonesPond,1,ANBO,5/4/2018,147349333A,M,,,,N,,,,,,,0,0,,
